,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
97,001430,세아베스틸,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",6,3694,10300.0,12623.06,22530.28,22.55,118.74,1.45,0.93,1.14,7.09
98,003550,LG,기타 금융업,지주회사,6,117166,67900.0,82473.27,88691.03,21.46,30.62,8.02,5.87,10.96,16.04
99,138080,오이솔루션,통신 및 방송 장비 제조업,광트랜시버,6,5275,49650.0,60181.44,33573.69,21.21,-32.38,20.46,44.43,3.83,-2.92
100,035760,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",6,27609,125900.0,152478.72,186621.15,21.11,48.23,4.83,3.65,8.58,13.45
101,020000,한섬,봉제의복 제조업,"여성의류,금속 액세서리,신발,가방,선글라스 제조,판매",6,9015,36600.0,44251.38,41117.11,20.91,12.34,8.09,8.37,7.56,5.96
102,004000,롯데정밀화학,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",6,11907,46150.0,55674.06,54566.24,20.64,18.24,11.76,11.73,16.72,7.74
103,160980,싸이맥스,특수 목적용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)",6,1573,14400.0,17158.89,0.0,19.16,-100.0,10.99,4.12,12.89,23.0
104,218410,RFHIC,통신 및 방송 장비 제조업,GaN 트랜지스터,6,9157,38400.0,45662.14,29889.27,18.91,-22.16,12.49,11.22,17.22,5.41
105,067160,아프리카TV,소프트웨어 개발 및 공급업,미디어플랫폼,6,7541,65600.0,77753.32,63622.95,18.53,-3.01,24.37,32.52,26.6,23.24
106,234080,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",6,2985,18850.0,22336.85,19064.5,18.5,1.14,20.29,18.92,14.97,17.45
107,023160,태광,1차 철강 제조업,"각종 배관자재, 관이음쇠류 제조 및 판매,발전기부품 및 판매업,반도체장비 제조업 및 무역도매",6,1884,7110.0,8419.09,10004.61,18.41,40.71,2.66,2.53,2.39,-3.8
108,108320,실리콘웍스,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등",6,7116,43750.0,51737.04,48393.28,18.26,10.61,12.8,8.39,11.4,11.87
109,155650,와이엠씨,전자부품 제조업,"FPD 패널용 Target, Backing Plate 등",5,2237,11200.0,13223.34,10952.22,18.07,-2.21,27.49,-1.95,19.93,26.66
110,136540,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",6,2011,16550.0,19509.97,15521.64,17.89,-6.21,15.49,13.61,12.04,9.08
