,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
131,007700,F&F,봉제의복 제조업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",6,12659,82200.0,84630.42,74318.91,2.96,-9.59,20.6,25.13,31.64,28.66
132,008490,서흥,기타 화학제품 제조업,"의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매",6,6375,55100.0,56638.31,46394.07,2.79,-15.8,13.54,11.14,9.47,8.73
133,130580,나이스디앤비,기타 사업지원 서비스업,기업신용조사 보고서,6,1863,12100.0,12421.15,11607.92,2.65,-4.07,20.58,21.19,22.21,17.75
134,138080,오이솔루션,통신 및 방송 장비 제조업,광트랜시버,6,6438,60600.0,62006.76,35415.5,2.32,-41.56,20.46,44.43,3.83,-2.92
135,069080,웹젠,소프트웨어 개발 및 공급업,3D 온라인게임 '뮤(MU)',6,10134,28700.0,29328.67,33366.33,2.19,16.26,13.7,12.74,17.28,11.91
136,014680,한솔케미칼,기초 화학물질 제조업,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",6,16660,147500.0,150091.53,133860.42,1.76,-9.25,21.86,20.88,20.12,17.99
137,218410,RFHIC,통신 및 방송 장비 제조업,GaN 트랜지스터,6,8967,37600.0,38220.37,29203.16,1.65,-22.33,10.29,11.22,17.22,5.41
138,161390,한국타이어앤테크놀로지,고무제품 제조업,타이어 제조,6,31774,25650.0,25909.15,51412.45,1.01,100.44,4.61,6.03,7.96,9.73
139,003220,대원제약,의약품 제조업,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",6,5466,27000.0,27060.63,22745.92,0.22,-15.76,13.28,14.05,13.51,6.52
140,017670,SK텔레콤,전기 통신업,"이동전화,무선호출서비스,부가통신",6,167951,208000.0,208322.08,281034.16,0.15,35.11,6.11,3.92,15.52,15.38
141,010120,엘에스일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",6,18090,60300.0,60118.94,61993.78,-0.3,2.81,8.06,7.82,10.78,9.51
142,035900,JYP Ent.,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,6,10755,30300.0,29955.47,25173.79,-1.14,-16.92,18.19,21.91,22.52,21.38
143,009240,한샘,생활용품 도매업,"주방가구(씽크대),인테리어가구 판매,제조/주택신축판매",6,24475,104000.0,102486.89,184486.27,-1.45,77.39,10.84,7.32,16.63,18.29
144,002790,아모레퍼시픽그룹,기타 화학제품 제조업,지주회사,6,44033,53400.0,52541.77,114793.13,-1.61,114.97,2.54,4.12,4.65,6.95
